Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score
400 EXERCICES CORRIGÉS D'ALGÈBRE AVEC RAPPELS DE COURS POUR SPÉ MP-MP*,"AASSILA, MOHAMMED",0,12.0,1,30.0,0.0,1,1,1.0,1.0,2.5
A FIRST COURSE IN PROBABILITY,"ROSS, SHELDON M.",2,12.0,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,0.5555555555555555
ADVANCED CYBERSECURITY TECHNOLOGIES,"MOSELEY,RALPH",3,4.0,2,18.5,4.949747468305833,2,3,0.6666666666666666,0.6666666666666666,0.3454861851709593
ADVANCED DATA STRUCTURES: THEORY AND APPLICATIONS,"SAHA,SUMAN",1,7.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.23809523809523808
AGILE STRATEGY MANAGEMENT : TECHNIQUES FOR CONTINUOUS ALIGNMENT AND IMPROVEMENT,"LYNGSO,SOREN",4,12.0,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,0.5555555555555555
ALGEBRE 1 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,1,10.0,55,16.345454545454544,4.8159387447584905,55,135,0.4074074074074074,0.4074074074074074,0.046648213970851345
ALGORITHMIQUE : COURS ET EXERCICES CORRIGÉS,OURBIH LATIFA BAGHDADLI,2,16.0,4,14.0,2.0,4,53,0.07547169811320754,0.07547169811320754,0.001661326688026581
ALGORITHMIQUE ET PROGRAMMATION EN JAVA : COURS ET EXERCICES,"GRANET, VINCENT",1,26.0,1,15.0,0.0,1,6,0.16666666666666666,0.16666666666666666,0.016025641025641024
ALGORITHMIQUE ET STRUCTURES DE DONNÉES STATIQUES : COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,1,11.0,3,15.0,0.0,3,4,0.75,0.75,0.7670454545454546
ALGORITHMIQUE MODERNE ANALYSE ET COMPLEXITÉ,ZERKAOUI HABIBA DRIAS,2,9.0,2,15.0,0.0,2,62,0.03225806451612903,0.03225806451612903,0.0017343045438779046
ALGÈBRE 1RE ANNÉE,LIRET FRANCOIS,1,23.0,5,17.6,8.23407554009556,5,6,0.8333333333333334,0.8333333333333334,0.05754782532113396
ALGÈBRE : 240 EXERCICES CORRIGÉS AVEC RÉSUMÉS DE COURS : PREMIERS CYCLES DE L'ENSEIGNEMENT SUPÉRIEUR...,"GAULTIER, MAURICE",1,27.0,1,15.0,0.0,1,1,1.0,1.0,0.5555555555555556
ALGÈBRE : COURS ET EXERCICES AVEC SOLUTIONS,"FRANÇOIS, LIRET",1,23.0,1,17.0,0.0,1,1,1.0,1.0,0.7391304347826086
"ALGÈBRE : PREMIERS PAS EN PRÉPA : 1RE ANNÉE, PRÉPA SCIENTIFIQUE, MATHÉMATIQUES","LEVINE, ALBERT",3,24.0,2,11.0,5.656854249492381,2,2,1.0,1.0,0.0688513397102368
"ALGÈBRE ET GÉOMÉTRIE : 200 EXERCICES DÉVELOPPÉS, 980EXERCICES D'ENTRAONEMENT, RAPPELS DE COURS",UNKNOWN_AUTHOR,1,27.0,1,15.0,0.0,1,1,1.0,1.0,0.5555555555555556
"ALGÈBRE GÉNÉRALE : RAPPELS DE COURS, QUESTIONS DE RÉFLEXION, EXERCICES D'ENTRAÎNEMENT",DENMAT ANNE,1,26.0,1,15.0,0.0,1,1,1.0,1.0,0.5769230769230769
ALGÉBRE : RAPPELS DE COURS QUESTIONS DE RÉFLEXION EXERCICE D'ENTRAINEMENT ANNALES CORRIGÉES,"LECOUTRE, JEAN-PIERRE",1,26.0,1,15.0,0.0,1,1,1.0,1.0,0.5769230769230769
ANALYS CONCEPT ET CONTEXTES : VOLUME 2 .FONCTIONS DE PLUSIEURS VARIABLES,STEWART,2,20.0,1,22.0,0.0,1,2,0.5,0.5,0.275
ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,2,15.0,6,15.333333333333334,0.816496580927726,6,74,0.08108108108108109,0.08108108108108109,0.003699557608761696
ANALYSE : FONCTIONS DE PLUSIEURS VARIABLES ET GÉOMÉTRIE ANALYTIQUE,"AEBISCHER, BRUNO",2,15.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.1111111111111111
"ANALYSE II POUR ÉCONOMISTES : MANUEL D'EXERCICES CORRIGÉS AVEC RAPPELS DE COURS : INTÉGRALES DOUBLES, ÉQUATIONS DIFFÉRENTIELLES...","PILLER, ALAIN",2,28.0,1,15.0,0.0,1,1,1.0,1.0,0.5357142857142857
ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,3,16.26829268292683,3,9.666666666666666,4.618802153517007,3,35,0.08571428571428572,0.08571428571428572,0.0007769578277730083
"ANALYSE MP : COURS, MÉTHODES ET EXERCICES CORRIGÉS","MONIER, JEAN-MARIE",2,19.0,1,15.0,0.0,1,2,0.5,0.5,0.19736842105263158
ANALYSE PC-PSI-PT : 2E ANNÉE : COURS ET 800 EXERCICES CORRIGÉS,"MONIER, JEAN-MARIE",3,22.0,1,15.0,0.0,1,1,1.0,1.0,0.6818181818181818
ANATOMIE ET PHYSIOLOGIE HUMAINES,MARIEB ELAINE,4,16.26829268292683,1,10.0,0.0,1,4,0.25,0.25,0.03841829085457271
ANT COLONY OPTIMIZATION,DORIGO MARCO,4,16.0,1,10.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.06944444444444445
APPRENDRE JAVA ET C++ EN PARALLÈLE,"BOICHAT, JEAN-BERNARD",1,16.26829268292683,1,15.0,0.0,1,1,1.0,1.0,0.9220389805097451
APPRENDRE LE C++,"DELANNOY, CLAUDE",1,19.0,1,15.0,0.0,1,1,1.0,1.0,0.7894736842105263
ARCHITECTURE ET TECHNOLOGIE DES ORDINATEURS,"ZANELLA, PAOLO",2,28.0,1,10.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.03968253968253969
ARTIFICIAL INTELLIGENCE : WITH AN INTRODUCTION TO MACHINE LEARNING,"NEAPOLITAN, RICHARD E.",3,8.0,1,15.0,0.0,1,2,0.5,0.5,0.46875
ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING IN 2D-3D MEDICAL IMAGE PROCESSING,"RAJA, ROHIT",4,5.0,1,15.0,0.0,1,2,0.5,0.5,0.75
BASES DE DONNÉES,"GARDARIN, GEORGES",2,23.0,1,15.0,0.0,1,1,1.0,1.0,0.6521739130434783
"BASES DE DONNÉES : CONCEPTS, UTILISATION ET DÉVELOPPEMENT","HAINAUT, JEAN-LUC",2,4.0,1,17.0,0.0,1,2,0.5,0.5,1.0625
BIG DATA ANALYTICS WITH APPLICATIONS IN INSIDER THREAT DETECTION,PARVEEN PALLABI,0,9.0,1,15.0,0.0,1,1,1.0,1.0,1.6666666666666667
C++,"HUBBARD, JOHN RAST",1,24.0,1,17.0,0.0,1,1,1.0,1.0,0.7083333333333334
C-C++ LA BIBLE DU PROGRAMMEUR : 1500 ASTUCES POUR TOUTES LES SITUATIONS,"JAMSA, KRIS",1,27.0,4,13.0,4.0,4,4,1.0,1.0,0.0962962962962963
"CALCUL DES PROBABILITÉS : COURS, EXERCICES ET PROBLÈMES CORRIGÉS","FOATA, DOMINIQUE",2,14.0,1,15.0,0.0,1,2,0.5,0.5,0.26785714285714285
CALCUL DIFFERENTIEL ET INTEGRAL TOME 01,"PISKOUNOV,N",4,20.0,1,10.0,0.0,1,6,0.16666666666666666,0.16666666666666666,0.01388888888888889
CALCUL DIFFÉRENTIEL DES FONCTIONS DE PLUSIEURS VARIABLES,ZIZI KHELIFA,1,10.0,1,15.0,0.0,1,8,0.125,0.125,0.0234375
CAMBRIDGE ENGLISH SKILLS REAL LISTENING AND SPEAKING 1,UNKNOWN_AUTHOR,0,16.26829268292683,1,15.0,0.0,1,1,1.0,1.0,0.9220389805097451
CAMBRIDGE ENGLISH SKILLS REAL LISTENING AND SPEAKING 2,UNKNOWN_AUTHOR,0,16.26829268292683,1,15.0,0.0,1,1,1.0,1.0,0.9220389805097451
"CHAINES DE MARKOV : COURS, EXERCICES ET CORRIGÉS DÉTAILLÉS","GRAHAM, CARL",3,18.0,1,17.0,0.0,1,1,1.0,1.0,0.9444444444444444
