Title,Reader_num,category,borrowing_duration,borrowing date,return date
EXERCICES CORRIGÉS D'ANALYSE : 1ÈRE ANNÉE LMD,5817912,1,15,2024-10-15,2024-10-30
EXERCICES D'ALGÈBRE ET D'ANALYSE : 154 EXERCICES CORRIGÉS DE PREMIÉRE ANNÉE 21 ÉDITION ENTIÉREMENT REVUE ET AUGMENTÉE,5754033,1,17,2024-10-17,2024-11-03
EXERCICES D'ALGÈBRE ET D'ANALYSE : 154 EXERCICES CORRIGÉS DE PREMIÉRE ANNÉE 21 ÉDITION ENTIÉREMENT REVUE ET AUGMENTÉE,5113394,1,15,2024-10-01,2024-10-16
EXERCICES D'ALGÈBRE ET D'ANALYSE : 154 EXERCICES CORRIGÉS DE PREMIÉRE ANNÉE 21 ÉDITION ENTIÉREMENT REVUE ET AUGMENTÉE,6092419,1,15,2024-10-15,2024-10-30
EXERCICES ET PROBLÈMES D'ALGORITHMIQUE : 144 ÉNONCÉS AVEC SOLUTIONS DÉTAILLÉES,8354464,3,7,2023-10-17,2023-10-24
MATHÉMATIQUES : MÉTHODES ET EXERCICES MP,6747275,3,7,2023-10-17,2023-10-24
"MATHÉMATIQUES, EC 1RE ANNÉE : TOUT-EN-UN : COURS ET EXERCICES",33,0,16,2024-06-27,2024-07-13
MATHS PCSI-PTSI,6243736,1,15,2024-10-21,2024-11-05
MATHS PCSI-PTSI,5868325,1,15,2024-10-13,2024-10-28
MATHS PCSI-PTSI : 1RE ANNÉE,3825689,2,11,2023-10-17,2023-10-28
"MATHS, MPSI",6195856,1,15,2024-10-22,2024-11-06
"MATHS, MPSI",4846540,1,17,2024-10-31,2024-11-17
MATHÉMATIQUES MPSI,6002367,1,15,2024-10-29,2024-11-13
"ALGÈBRE : PREMIERS PAS EN PRÉPA : 1RE ANNÉE, PRÉPA SCIENTIFIQUE, MATHÉMATIQUES",11785637,3,7,2024-05-27,2024-06-03
"ALGÈBRE : PREMIERS PAS EN PRÉPA : 1RE ANNÉE, PRÉPA SCIENTIFIQUE, MATHÉMATIQUES",6499597,1,15,2024-10-02,2024-10-17
"TOUTES LES MATHÉMATIQUES, MP : 1RE PARTIE, LE KIT DE SURVIE, 2E PARTIE, DES CERISES SUR LE GÂTEAU",33,0,16,2024-06-27,2024-07-13
COURS ÉLÉMENTAIRE DE TOPOGRAPHIE,5262108,1,15,2024-10-30,2024-11-14
BASES DE DONNÉES,3753569,2,15,2024-09-30,2024-10-15
SIMULATION NUMÉRIQUE EN C++ : COURS ET EXERCICES CORRIGÉS,3984959,2,11,2023-10-17,2023-10-28
ALGORITHMIQUE : COURS ET EXERCICES CORRIGÉS,3802346,2,11,2023-10-17,2023-10-28
ALGORITHMIQUE : COURS ET EXERCICES CORRIGÉS,6243736,1,15,2024-10-21,2024-11-05
C-C++ LA BIBLE DU PROGRAMMEUR : 1500 ASTUCES POUR TOUTES LES SITUATIONS,5936748,1,15,2024-10-02,2024-10-17
C-C++ LA BIBLE DU PROGRAMMEUR : 1500 ASTUCES POUR TOUTES LES SITUATIONS,5094669,1,15,2024-10-02,2024-10-17
