ISBN/ISSN,Title,Author,Copy Count
9782855576558,10 CLÉS POUR COMPRENDRE LE SOL,RAOUL CALVET,3
9782100824199,100 FICHES POUR BIEN DÉMARRER EN PRÉPA,MARIE-VIRGINIE SPELLER,2
9782100725106,50 [CINQUANTE]CLÉS POUR COMPRENDRE LA PHYSIQUE,"BAKER, JOANNE",2
9782729839406,"8 ANS DE PROBLÈMES CORRIGÉS DE MATHÉMATIQUES POSÉS AUX CONCOURS DE CENTRALE-SUPÉLEC, MINES-PONTS, CCP",FRANCHINI JEAN,2
9780321794772,A FIRST COURSE IN PROBABILITY,"ROSS, SHELDON M.",3
9789961010297,A WORK BOOK FOR BASIC WRITING COMPOSITION,ZOUBIR ABDELHAMID,2
2225384908,ABRÉGÉ DE STATISTIQUE : À L'USAGE DES ÉTUDIANTS EN MÉDECINE ET EN BIOLOGIE,"GELLER, S.",2
9782212128895,ACCESSIBILITÉ WEB : NORMES ET BONNES PRATIQUES POUR DES SITES PLUS ACCESSIBLES,"ALTINIER, ARMONY",1
9782746084179,"ACROBAT XI, VERSION PRO : POUR PC-MAC, INCLUT ADOBE READER","SAINT-DENIS, NATHALIE DE",1
9789961019832,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",12
9781848215382,ADVANCED BACKEND CODE OPTIMIZATION,"TOUATI, SID",3
9780367562328,ADVANCED CYBERSECURITY TECHNOLOGIES,"MOSELEY,RALPH",3
9781138592605,ADVANCED DATA STRUCTURES,SUMAN SAHA,3
9781466596078,AGILE STRATEGY MANAGEMENT,SOREN LYNGSO,3
9781032044064,AI FOR THE SUSTAINABLE DEVELOPMENT GOALS,"SAETRA, HENRIK SKAUG",2
9780367643812,AI MEETS BI,LAKSHMAN BULUSU,2
2840740982,AIDE-MÉMOIRE DE MATHÉMATIQUES,"AULIAC, GUY",2
9782100582402,AIDE-MÉMOIRE DE MATHÉMATIQUES DE L'INGÉNIEUR,MAURICE CHOSSAT,0
1077321600,ALGEBRE GENERALE COURS ET EXERCICES CORRIGES,RAOUL BILOMBO,2
1077321600,ALGEBRE GENERALE COURS ET EXERCICES CORRIGES,RAOUL BILOMBO,2
2100050354,ALGORITHME ET PROGRAMMATION EN JAVA ,VINCENT GRANET,2
2212113854,ALGORITHMES DE GRAPHES,LACOMME; PHILIPPE,1
2744070246,ALGORITHMES EN JAVA,ROBERT SEDGEWICK,0
9782100053315,ALGORITHMES EN LANGAGE C ,ROBERT SEDGEWICK,3
9782340061125,ALGORITHMIQUE ET DÉVELOPPEMENT PYTHON : COURS ET EXEMPLES D'APPLICATIONS,"FADIL, ABDERRAHMANE",4
9782100056439,ALGORITHMIQUE ET OPTIMISATION - EXERCICES CORRIGÉS : EXERCICES CORRIGÉS,"DARTE, ALAIN",5
9789961006306,ALGORITHMIQUE ET STRUCTURES DE DONNÉES STATIQUES : COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,4
9789961020050,ALGORITHMIQUE MODERNE ANALYSE ET COMPLEXITÉ,ZERKAOUI HABIBA DRIAS,62
2100065319,ALGORITHMIQUE PARALLÈLE,ARNAUD LEGRAND,2
9782711789719,ALGÈBRE,AUZIMOUR,0
2100043566,ALGÈBRE,JEAN-PIERRE LECOUTRE,0
222585162x,ALGÈBRE,HÉLÈNE SUREAU,2
2853942228,ALGÈBRE,PAUL ATTALI,2
2711788849,ALGÈBRE : 240 EXERCICES CORRIGÉS AVEC RÉSUMÉS DE COURS : PREMIERS CYCLES DE L'ENSEIGNEMENT SUPÉRIEUR...,"GAULTIER, MAURICE",1
9782311009965,"ALGÈBRE : ARITHMÉTIQUE POUR L'INFORMATIQUE : COURS & EXERCICES CORRIGÉS, LICENCE 2 & 3","WASSEF,PIERRE",2
2100049208,ALGÈBRE ET GÉOMÉTRIE ,JEAN-MARIE MONIER,2
2100040030,ALGÈBRE GÉNÉRALE,ANNE DENMAT,3
2704200017,ALGÈBRE LINÉAIRE,SEYMOUR LIPSCHUTZ,2
978996101744,ALGÈBRE LINÉAIRE ET MULTILINÉAIRE ALGÈBRE QUADRATIQUE,ZIZI KHELIFA,4
2853941914,"ALGÈBRE. 2, 2E ANNÉE","TISSIER, ALAIN",2
2100040057,ALGÉBRE LINÉAIRE,"DANMAT, ANNE",3
9781441923226,ALL OF STATISTICS,LARRY WASSERMAN,3
9780470641835,AN ELEMENTARY INTRODUCTION TO STATISTICAL LEARNING THEORY,"KULKARNI,SANJEEV",3
9780128046050,AN INTRODUCTION TO PARALLEL PROGRAMMING,"PACHECO, PETER S",1
9781498714952,ANALOG ELECTRONICS APPLICATIONS,HERNANDO LAUTARO FERNANDEZ-CANQUE,0
2729895671,ANALYSE,CLAUDE SERVIEN,5
2804149072,ANALYSE,FRANÇOIS COTTET-EMARD,2
2804150313,ANALYSE,JAMES STEWART,0
2729898514,ANALYSE,MARIE-CLAUDE SARMANT,2
2853941922,ANALYSE,PAUL ATTALI,0
9782311007381,ANALYSE - THÉORIE DE L'INTÉGRATION,MARC BRIANE,2
9789961015100,ANALYSE 2 : RAPPELS DE COURS ET EXERCICES AVEC SOLUTIONS,HAMED C BABA,74
9782311002751,ANALYSE : FONCTIONS DE PLUSIEURS VARIABLES ET GÉOMÉTRIE ANALYTIQUE,"AEBISCHER, BRUNO",3
2804150305,ANALYSE CONCEPTS ET CONTEXTES VOLUME1,STEWART,2
9782746221208,ANALYSE DE TRACES ET PERSONNALISATION DES ENVIRONNEMENTS INFORMATIQUES POUR L'APPRENTISSAGE HUMAIN,MARTY CHARLES,3
2100000632,ANALYSE DES DONNÉES MULTIDIMENSIONNELLES,HENRY ROUANET,2
2100048880,ANALYSE ET GÉOMÉTRIE ,GUY ROOS,3
2840011395,ANALYSE II POUR ÉCONOMISTES,ALAIN PILLER,0
9789961016107,ANALYSE MATHEMATIQUE : EXERCICES CORRIGES,BELAIDI BENHARRAT,35
9782100510399,"ANALYSE MP : COURS, MÉTHODES ET EXERCICES CORRIGÉS","MONIER, JEAN-MARIE",2
9782100599103,ANALYSE NUMÉRIQUE,FRANCIS FILBET,0
9782311010312,ANALYSE NUMÉRIQUE,ERIC CANON,2
2730212558,ANALYSE NUMÉRIQUE ET OPTIMISATION,GRÉGOIRE ALLAIRE,0
