Inventory Number,Title,Author,Editor,Edition Date,Edition Location,Acquisition Mode,Status,Localisation
624,"100 FICHES POUR BIEN DÉMARRER EN PRÉPA, 2021-2022 : MPSI, MP2I, PCSI, PTSI, BCPST 1 : MATHS, PHYSIQUE, CHIMIE, PROGRAMME 2021","SPELLER, MARIE-VIRGINIE.",MALKOFF,2021.0,PARIS,ACHAT,CONSULTATION SUR PLACE,ENSIA
849,400 EXERCICES CORRIGÉS D'ALGÈBRE AVEC RAPPELS DE COURS POUR SPÉ MP-MP*,"AASSILA, MOHAMMED",ELLIPSES,2014.0,PARIS,DON,PRÊT EXTERNE,ENSIA
1387,50 [CINQUANTE]CLÉS POUR COMPRENDRE LA PHYSIQUE,"BAKER, JOANNE",DUNOD,2015.0,PARIS,DON,PRÊT EXTERNE,ENSIA
941,50 [CINQUANTE]CLÉS POUR COMPRENDRE LA PHYSIQUE,"BAKER, JOANNE",DUNOD,2015.0,PARIS,PASSIF,PRÊT EXTERNE,ENSIA
1014,"8 ANS DE PROBLÈMES CORRIGÉS DE MATHÉMATIQUES POSÉS AUX CONCOURS DE CENTRALE-SUPÉLEC, MINES-PONTS, CCP",FRANCHINI JEAN,UNKNOWN_EDITOR,2008.0,PARIS,ACHAT,PRÊT EXTERNE,ENSIA
1013,"8 ANS DE PROBLÈMES CORRIGÉS DE MATHÉMATIQUES POSÉS AUX CONCOURS DE CENTRALE-SUPÉLEC, MINES-PONTS, CCP",FRANCHINI JEAN,UNKNOWN_EDITOR,2008.0,PARIS,ACHAT,PRÊT EXTERNE,ENSIA
3781,A FIRST COURSE IN PROBABILITY,"ROSS, SHELDON M.",UNKNOWN_EDITOR,2014.0,BOSTON,ACHAT,PRÊT EXTERNE,ENSIA
3782,A FIRST COURSE IN PROBABILITY,"ROSS, SHELDON M.",UNKNOWN_EDITOR,2014.0,BOSTON,ACHAT,PRÊT EXTERNE,ENSIA
3783,A FIRST COURSE IN PROBABILITY,"ROSS, SHELDON M.",UNKNOWN_EDITOR,2014.0,BOSTON,ACHAT,PRÊT EXTERNE,ENSIA
3693,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3687,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3691,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3689,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3690,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3692,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3688,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3686,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3694,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
3685,A MULTI-DISCIPLINARY APPROCH,UNKNOWN_AUTHOR,UNKNOWN_EDITOR,UNKNOWN_YEAR,UNKNOWN_LOCATION,ACHAT,PRÊT EXTERNE,ENSIA
65,A WORK BOOK FOR BASIC WRITING COMPOSITION,ZOUBIR ABDELHAMID,OPU,2017.0,ALGER,ACHAT,CONSULTATION SUR PLACE,ENSIA
66,A WORK BOOK FOR BASIC WRITING COMPOSITION,ZOUBIR ABDELHAMID,OPU,2017.0,ALGER,ACHAT,PRÊT EXTERNE,ENSIA
964,ABRÉGÉ DE STATISTIQUE : À L'USAGE DES ÉTUDIANTS EN MÉDECINE ET EN BIOLOGIE,"GELLER, S.",MASSON,1974.0,PARIS,ACHAT,PRÊT EXTERNE,ENSIA
963,ABRÉGÉ DE STATISTIQUE : À L'USAGE DES ÉTUDIANTS EN MÉDECINE ET EN BIOLOGIE,"GELLER, S.",MASSON,1974.0,PARIS,ACHAT,PRÊT EXTERNE,ENSIA
3840,ACADEMIC WRITING WITH CORPORA : A RESOURCE BOOK FOR DATA-DRIVEN LEARNING,SECCOMDE TATYANA KARENKO,ROUTLEDGE,2020.0,USA,ACHAT,PRÊT EXTERNE,ENSIA
614,ACADEMIC WRITING WITH CORPORA : A RESOURCE BOOK FOR DATA-DRIVEN LEARNING,SECCOMDE TATYANA KARENKO,ROUTLEDGE,2020.0,USA,ACHAT,PRÊT EXTERNE,ENSIA
613,ACADEMIC WRITING WITH CORPORA : A RESOURCE BOOK FOR DATA-DRIVEN LEARNING,SECCOMDE TATYANA KARENKO,ROUTLEDGE,2020.0,USA,ACHAT,PRÊT EXTERNE,ENSIA
615,ACADEMIC WRITING WITH CORPORA : A RESOURCE BOOK FOR DATA-DRIVEN LEARNING,SECCOMDE TATYANA KARENKO,ROUTLEDGE,2020.0,USA,ACHAT,PRÊT EXTERNE,ENSIA
3841,ACADEMIC WRITING WITH CORPORA : A RESOURCE BOOK FOR DATA-DRIVEN LEARNING,SECCOMDE TATYANA KARENKO,ROUTLEDGE,2020.0,USA,ACHAT,PRÊT EXTERNE,ENSIA
3839,ACADEMIC WRITING WITH CORPORA : A RESOURCE BOOK FOR DATA-DRIVEN LEARNING,SECCOMDE TATYANA KARENKO,ROUTLEDGE,2020.0,USA,ACHAT,PRÊT EXTERNE,ENSIA
729,ACCESSIBILITÉ WEB : NORMES ET BONNES PRATIQUES POUR DES SITES PLUS ACCESSIBLES,"ALTINIER, ARMONY",EYROLLES,2012.0,PARIS,DON,CONSULTATION SUR PLACE,ENSIA
749,"ACROBAT XI, VERSION PRO : POUR PC-MAC, INCLUT ADOBE READER","SAINT-DENIS, NATHALIE DE",ED. ENI,2013.0,SAINT-HERBLAIN,DON,PRÊT EXTERNE,ENSIA
4282,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",OPU,2017.0,ALGER,ACHAT,PRÊT EXTERNE,ENSIA
4280,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",OPU,2017.0,ALGER,ACHAT,PRÊT EXTERNE,ENSIA
4276,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",OPU,2017.0,ALGER,ACHAT,PRÊT EXTERNE,ENSIA
4279,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",OPU,2017.0,ALGER,ACHAT,PRÊT EXTERNE,ENSIA
331,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",OPU,2017.0,ALGER,ACHAT,CONSULTATION SUR PLACE,ENSIA
4278,ADMINISTRATION DES RÉSEAUX PAR LA PRATIQUE EXERCICES POUR DÉBUTANTS,"DAHMANI, YOUCEF",OPU,2017.0,ALGER,ACHAT,PRÊT EXTERNE,ENSIA
