N° inventaire,Date de réception,Titre,Auteur,Editeur,Date d'édition,Lieu d'édition,Edition,Mode d'acquisition,Statut,Fournisseur,N° achat,Prix,Cote,Localisation,Observation
62504,,Programmation mathématique : théorie et algorithmes,"Minoux, Michel",Lavoisier,2008.0,Paris,2e éd.,Passif,,,,,519.85 MIN,ENSIA,Titre remplacé
111442,,"Calcul des probabilités : cours, exercices et problèmes corrigés","Foata, Dominique",Dunod,2012.0,Paris,3e éd.,Passif,Prêt externe,,,,519.2/FOA,Transféré l'ENSIA,
1,2021-12-19,Calcul DIfferentiel et Integral Tome 01,"Piskounov,N",Office des Publications Universitaires,2006.0,algerie,,Achat,Prêt externe,opu,2021-11-01 00:00:00,889.91,515.33/PIS/1,ENSIA,
10,2021-11-01,Calcul Differentiel Et Integral Tome 2,"Piskounov,N",OPU,2016.0,Algerie,,Achat,Prêt externe,,,,515.33/PIS/4/2,ENSIA,
100,,Introduction à l'analyse mathématique : nombres et suites numeriques: premiéres années du LMD. T. 1,Abdelkader Khelladi,OPU,2018.0,Alger,3 ED.,Achat,Prêt externe,,,,515/KHE/5,ENSIA,
1000,,Exercices corrigés d'analyse : 1ère année LMD,Mortad Mohammed Hicham*,Edition Houma,2009.0,Alger,,Don,Prêt externe,,,,515 MON,ENSIA,
1001,,Exercices corrigés de mathématiques tome 1 : rappels de cours et exercices corrigés,DUPONT PASCAL,,2008.0,PARIS,3 ed.,Achat,Prêt externe,,,,510.76.DUP/1,ENSIA,
1002,,Exercices corrigés de mathématiques tome 1 : rappels de cours et exercices corrigés,DUPONT PASCAL,,2008.0,PARIS,3 ed.,Achat,Prêt externe,,,,510.76.DUP/2,ENSIA,
1003,,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 : rappels de cours et exercices corrigés,"DUPONT,PASCAL",,2008.0,PARIS,3 ed.,Passif,Prêt externe,,,,510.76. DUP/1,ENSIA,
1004,,EXERCICES CORRIGES DE MATHEMATIQUES TOME 2 : rappels de cours et exercices corrigés,"DUPONT,PASCAL",,2008.0,PARIS,3 ed.,Passif,Prêt externe,,,,510.76 DUP/2,,
1005,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Passif,Prêt externe,,,,510.BAL/1,,
1006,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Achat,Prêt externe,,,,510.BAL/2,,
1007,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Achat,Prêt externe,,,,510.BAL/3,,
1008,,Exercices d'algèbre et d'analyse : 154 exercices corrigés de premiére année 21 édition entiérement revue et augmentée,Balac Stéphane,,2011.0,,2 ed.,Achat,Prêt externe,,,,510.BAL/4,,
1009,,Exercices et problèmes d'algorithmique : 144 énoncés avec solutions détaillées,BAYNAT BRUNO*,,2003.0,Paris,,Achat,Prêt externe,,,,518.107.BAY/1,ENSIA,
101,,Introduction à l'analyse mathématique : nombres et suites numeriques: premiéres années du LMD. T. 1,Abdelkader Khelladi,OPU,2018.0,Alger,3 ED.,Achat,Prêt externe,,,,515/KHE/6,ENSIA,
1010,,Exercices et problèmes d'algorithmique : 144 énoncés avec solutions détaillées,BAYNAT BRUNO*,,2003.0,Paris,,Achat,Prêt externe,,,,518.107.BAY/2,ENSIA,
1011,,Extensions de corps théorie de galois : théorie de Galois : niveau M1-M2,Calais Josette,,2006.0,paris,,Achat,Prêt externe,,,,512.30.CAL/1,ENSIA,
1012,,Extensions de corps théorie de galois : théorie de Galois : niveau M1-M2,Calais Josette,,2006.0,paris,,Achat,Prêt externe,,,,512.30.CAL/2,ENSIA,
1013,,"8 ans de problèmes corrigés de mathématiques posés aux concours de Centrale-Supélec, Mines-Ponts, CCP",Franchini Jean,,2008.0,paris,,Achat,Prêt externe,,,,510.76.FRA/1,ENSIA,
1014,,"8 ans de problèmes corrigés de mathématiques posés aux concours de Centrale-Supélec, Mines-Ponts, CCP",Franchini Jean,,2008.0,paris,,Achat,Prêt externe,,,,510.76.FRA/2,ENSIA,
1015,,Intégrale de Riemann : théorie et pratique avec exercices corrigés,El Amrani Mohammed,,2009.0,paris,,Achat,Prêt externe,,,,515.43.ELA/1,,
1016,,Intégrale de Riemann : théorie et pratique avec exercices corrigés,El Amrani Mohammed,,2009.0,paris,,Achat,Prêt externe,,,,515.43.ELA/2,,
1017,,Intelligence artificielle,Edith Schomberg,,,,,Don,Prêt externe,,,,006.3.SCH/1,ENSIA,
1018,,Intelligence artificielle,Edith Schomberg,,,,,Don,Prêt externe,,,,006.3.SCH/2,,
1019,,Intelligence artificielle résolution des problèmes,Louis Lauriere Jean,,,,,Achat,Prêt externe,,,,006.3.LAU/1,ENSIA,
102,,Introduction à l'analyse mathématique : nombres et suites numeriques: premiéres années du LMD. T. 1,Abdelkader Khelladi,OPU,2018.0,Alger,3 ED.,Achat,Prêt externe,,,,515/KHE/7,ENSIA,
1020,,Intelligence artificielle résolution des problèmes,Louis Lauriere Jean,,,,,Achat,Prêt externe,,,,006.3.LAU/2,ENSIA,
1021,,"Langages formels : calculabilité et complexité : cours et exercices corrigés : licence 3 & master, mathématiques & informatique, agrégation mathématiques","Carton, Olivier",,2014.0,Paris,,Achat,Prêt externe,,,,511.3. CAR/1,ENSIA,
1022,,"Langages formels : calculabilité et complexité : cours et exercices corrigés : licence 3 & master, mathématiques & informatique, agrégation mathématiques","Carton, Olivier",,2014.0,Paris,,Achat,Prêt externe,,,,511.3. CAR/2,ENSIA,
1023,,L'Intelligence artificielle : à travers Turbo Prolog,"Hudault, Bénédicte",Ellipses,1991.0,Paris,,Achat,Prêt externe,,,,006.3 HUD/2,ENSIA,
1025,,"Mathématiques : cours-problèmes-exercices-informatique, MatLab, Maple : BCPST-V?TO 2e année","Damin, Gilbert",,2011.0,Paris,,Achat,Prêt externe,,,,511.32.DAM/1,ENSIA,
1026,,"Mathématiques : cours-problèmes-exercices-informatique, MatLab, Maple : BCPST-V?TO 2e année","Damin, Gilbert",,2011.0,Paris,,Achat,Prêt externe,,,,511.32 DAM/2,ENSIA,
1027,,Mathématiques : méthodes et exercices : PCSI-PTSI,"Marie Monier, Jean",,20011.0,paris,,Passif,Prêt externe,,,,510 MON/1,,
1028,,Mathématiques : méthodes et exercices : PCSI-PTSI,"Marie Monier, Jean",,20011.0,paris,,Passif,Prêt externe,,,,510 MON/2,ENSIA,
1029,,Mathématiques : méthodes et exercices MP,"Monier, Jean-Marie",,2009.0,paris,,Achat,Prêt externe,,,,510.76 MON/1,,
