"ISBN, ISSN...",Titre,Auteur,Cote,Nbr. Exp.
978996101320,Calcul DIfferentiel et Integral Tome 01,"Piskounov,N",515.33/PIS/1,6
9782744070372,"Compilateurs : principes, techniques et outils : avec plus de 200 exercices","Aho, Alfred",004.4 AHO/1,2
2729823212,"Bit après bit : numération, arithmétique binaire, logique combinatoire","Mercier, Jean-Jacques",513.52 MER/1,1
274640432X,"Le Nouveau guide du PC : comprendre, acheter, entretenir, améliorer","Steiner, Jack",004 STE/1,1
2704200106,Introduction à l'informatique : cours et problèmes,"Scheid, Francis",004 SCH,1
9789961017210,Compilation : cours et exercices corrigés,"Ait-Aoudia, Samy",005.453 AIT/1,2
9782744072871,UML 2 : pratique de la modélisation,"Charroux, B",005.117 CHA/1,1
9782711748662,"Introduction au traitement d'images : théories, algorithmes, applications","Lingrand, Diane",621.367 LIN/1,2
9782746220478,"UNIX, Linux, BSD : utilisateurs et développeurs","Pélissier, Christian",005.432 PEL/1,1
9791090085077,Apprenez à programmer en Java : a programmation professionnelle à la portée de tous !,"Herby, Cyrille",005.133 DEL /1,2
2729826203,"Compilation des langages de programmation : ce que fait un compilateur, comment le réaliser","Gautier, Martine",005.453 GAU/1,2
2100066692,Unix administration : systèmes et réseaux,"Moreno, Jean-Michel",005.432 MOR/1,1
9782100710409,Arduino : maîtrisez sa programmation et ses cartes d'interface (shields),"Tavernier, Christian",621.395 ARD/1,4
9782729831059,"Excel pour l'ingénieur : bases, graphiques, calculs, macros, VBA","Bellan, Philippe",005.54 BEL/1,1
978221212624,Linux administration. T. 1 : Les bases de l'administration système,"Bouchaudy, Jean-François",005.432 BOU/1,1
9782867394805,Informatique et numérique à l'usage des seniors,"Germain, Michele",004.678 GER/1,1
9782746048157,Oracle 11g : entraînez-vous sur SQL et PL/SQL,"Gabillaud, Jérôme",004 GAB,1
2746214830,Contrôle des applications temps-réel : modèles temporisés et hybrides,"Cassez, Franck",004 CAS/1,1
9782746229815,Informatique et intelligence ambiante : des capteurs aux applications,"Calvary, Gaëlle",006.3 CALL/1,1
9782212128895,Accessibilité Web : normes et bonnes pratiques pour des sites plus accessibles,"Altinier, Armony",004.678 ALT/1,1
9782746212879,Informatique diffuse : des concepts à la réalité,"Banâtre, Michel",004.36 BAN/1,1
2729826785,Le Projet informatique de A à Z : approche pragmatique de la gestion de projet,"Frémaux, Valéry Guilhem",005.12 FRE/1,1
9782100563470,Les Cartes à puce : théorie et mise en oeuvre,"Tavernier, Christian",621.381 53 TAV,1
9782729829964,Concevoir son microprocesseur : structure des systèmes logiques,"Buisson, Jean-Christophe",621.395 BUI/1,3
9782311004762,"Architecture des ordinateurs : mémoires à semi-conducteurs, principe de fonctionnement et organisation interne des mémoires vives","Darche, Philippe",004.22 DAR/1,1
9789961006030,Introduction a l'architecture des ordinateurs,"Drias-Zerkaoui, Habiba",,15
9782746085398,"Les VPN : fonctionnement, mise en oeuvre et maintenance des réseaux privés virtuels","Archier, Jean-Paul",004.67 ARC/1,1
9789957525880,Digital signal processing (with matlab) : ?????? ??????? ??????? ???????? ????????,Abu Jzar; Amjad abbas,004 ABU,1
9789973375803,Méthodologies de la recherche scientifique,"Zidi, Anés",001.8 ZID/1,1
9781118691328,How to do a research project : a guide for undergraduate students,"Robson, Colin",001.8 ROB/1,2
9789961012222,"Guide de méthodologie de la recherche post- graduée : mémoires de licence et de magistére, thése de doctorat application au domaine des sciences commerciales","Zellal, Nacira",001.81 ZEL,1
2746032821,Solaris 10 : administration d'un système Unix,"Dutreix, Michel",005.432 DUT/1,2
9782212121353,Apprendre le C++,"Delannoy, Claude",005.133 DEL/1,1
2711748383,Introduction aux bases de données,"Date, Chris",005.74 DAT,1
9782893773520,Microsoft Access 2007,"Friedrichsen, Lisa",004.4 FRI,1
2100074482,Sécurité informatique et réseaux : cours et exercices corrigés,"Ghernaouti-Hélie, Solange",005.8 GHE/1,1
9782212120219,Sécurité informatique : principes et méthode,"Bloch, Laurent",005.8 BLO,1
2729899146,Approche du temps reel industriel,"De Geeter, Jean-Marie",004 DEG,2
2711786498,Client-serveur : guide de survie,"Orfali, Robert",004.38 ORF,1
9782100526734,Microsoft SQL Server 2008 : étape par étape,"Hotek, Mike",005.758 5 HOT,1
2746211432,Les Documents écrits : de la numérisation à l'indexation par le contenu,"Mullot, Rémy",020 MUL,1
2711786218,"Cours et exercices informatique : classes préparatoires , 1er et 2nd cycles universitaires","Albert, Luc",004 ALB/1,1
9782247066421,"Pratique du droit de l'informatique et de l'internet : logiciels, systèmes, internet","Hollande, Alain",343.440 999 HOL/1,1
9782100521562,Sécurité informatique et réseaux : licence 3 année master ecoles d'ingénieurs,"Ghernaouti-Hélie, Solange",005.8 GHE/1,1
2212119739,Tableaux de Bord de la sécurité réseaux,"Liorens, Cédric",005.8 LIO,1
2729823182,Architecture des systeme sur puce : processeurs synthetisables cao vlsi norme vci environnement ise et quartus,"Attaoui, Ammar",621.395 ATT/1,1
9789961012581,Histoires des sciences : introduction et decouverte,"Khelladi, Abdelkader",001/KHE,1
2840741148,Approche fonctionnelle de la programmation,"Cousineau, Guy",005.133 COU/1,3
2100065114,Programmer en C++,"Hubbard, John R.",005.133 PRO/1,1
078970952x,Excel 97 : comment faire quand on n'y connait rien et qu'on veut y arriver tout seul,"Gold, Laura maery",005.133/GOL,2
2100079115,Génie logiciel,"Gustafson, David",005.12 GUS/1,2
210006648X,La Programmation sous Unix,"Rifflet, Jean-Marie",005.432 RIF/1,3
2212091036,Le Guide de l'utilisateur (UML),"Booch, Grady",004 BOD/2,1
2744016349,PHP 5 : totalement mis à jour avec la version 5,"Atkinson, Leon",005.133 ATK/1,1
978274402250,Le Langage C,"Aitken, Peter G.",005 AIT/1,1
2746402173,Linux : le guide du développeur,"Goerzen, John",005.432 GOE/1,1
2744013781,Microsoft Windows 2000 Server,"Boswell, William",005.432 BOS/1,1
2841809846,Méthodes orientées objet,"Graham, Ian",005.12 GRA/1,1
